run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
random_43,28,269,0.04969539355009641,0.04250612990815794,0.04826494310913008,0.037312932177687254,True
random_43,29,268,0.045177990065939116,0.03967148270697523,0.04354251217688512,0.03353887835411324,True
random_43,30,267,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,31,266,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,32,265,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,33,264,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,34,263,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,35,262,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,36,261,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_43,37,260,0.04961778290203741,0.04311446020038526,0.047028647908391515,0.0368363014273897,True
random_44,0,297,0.0,0.0,0.0,0.0,True
random_44,1,296,0.0,0.0,0.0,0.0,True
random_44,2,295,0.0,0.0,0.0,0.0,True
random_44,3,294,0.02421672065184343,0.02217157535620294,0.023916935824606203,0.019009670175962133,True
random_44,4,293,0.02421672065184343,0.02217157535620294,0.023916935824606203,0.019009670175962133,True
random_44,5,292,0.02421672065184343,0.02217157535620294,0.023916935824606203,0.019009670175962133,True
random_44,6,291,0.0432972362308242,0.033996505949098366,0.03958400341358037,0.027776415238263016,True
random_44,7,290,0.044634864396936744,0.037795628904447376,0.04313762595261401,0.03203914689461074,True
random_44,8,289,0.044634864396936744,0.037795628904447376,0.04313762595261401,0.03203914689461074,True
random_44,9,288,0.044634864396936744,0.037795628904447376,0.04313762595261401,0.03203914689461074,True
random_44,10,287,0.04705306638947295,0.039205518528670665,0.04496257733756161,0.033181301934393594,True
random_44,11,286,0.04989633516415453,0.04367667597414105,0.04865742279805291,0.0373116614656572,True
random_44,12,285,0.04989633516415453,0.04367667597414105,0.04865742279805291,0.0373116614656572,True
random_44,13,284,0.048514982702668304,0.04097635127926253,0.045544216726021894,0.03428126640858819,True
random_44,14,283,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,15,282,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,16,281,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,17,280,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,18,279,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,19,278,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,20,277,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,21,276,0.04954338793793103,0.043081368434486435,0.04704598008737244,0.036318284980517805,True
random_44,22,275,0.043509104233468786,0.04007567880925633,0.04263233084617535,0.03379059620536529,True
random_44,23,274,0.04814361614242831,0.04355518947385198,0.04485641217200135,0.03706905048566603,True
random_44,24,273,0.04949998134548794,0.04458835518294669,0.04606663331470444,0.037972726281451506,True
